Position,Games,FantasyPoints,PlayerID,AvgFPPG
RB,15,176.0,kenneth walker iii0,11.733333333333333
RB,17,199.0,dalvin cook0,11.705882352941176
WR,3,35.0,michael thomas0,11.666666666666666
RB,17,197.0,miles sanders0,11.588235294117647
QB,13,150.0,kenny pickett0,11.538461538461538
WR,17,195.0,ceedee lamb0,11.470588235294118
RB,15,169.0,ezekiel elliott0,11.266666666666667
RB,17,190.0,aaron jones0,11.176470588235293
QB,9,98.0,zach wilson0,10.88888888888889
WR,17,184.0,jaylen waddle0,10.823529411764707
RB,11,118.0,jonathan taylor0,10.727272727272727
RB,17,182.0,najee harris0,10.705882352941176
RB,17,180.0,rhamondre stevenson0,10.588235294117647
QB,7,74.0,mitchell trubisky0,10.571428571428571
QB,16,169.0,jacoby brissett0,10.5625
QB,2,21.0,joshua dobbs0,10.5
RB,13,136.0,dameon pierce0,10.461538461538462
RB,15,155.0,alvin kamara0,10.333333333333334
RB,13,134.0,cordarrelle patterson0,10.307692307692308
RB,14,143.0,d'andre swift0,10.214285714285714
WR,16,162.0,amon-ra st. brown0,10.125
QB,12,121.0,baker mayfield0,10.083333333333334
RB,17,170.0,travis etienne0,10.0
WR,17,168.0,amari cooper0,9.882352941176471
WR,15,148.0,mike evans0,9.866666666666667
WR,10,98.0,keenan allen0,9.8
WR,9,88.0,deandre hopkins0,9.777777777777779
RB,13,127.0,latavius murray0,9.76923076923077
QB,4,39.0,desmond ridder0,9.75
QB,4,39.0,bailey zappe0,9.75
RB,5,48.0,rashaad penny0,9.6
QB,5,48.0,joe flacco0,9.6
WR,16,153.0,tyler lockett0,9.5625
RB,16,153.0,leonard fournette0,9.5625
QB,2,19.0,david blough0,9.5
WR,17,160.0,devonta smith0,9.411764705882353
TE,15,141.0,george kittle0,9.4
WR,17,158.0,christian kirk0,9.294117647058824
RB,8,74.0,j.k. dobbins0,9.25
WR,16,147.0,tee higgins0,9.1875
WR,15,137.0,jerry jeudy0,9.133333333333333
QB,4,36.0,sam ehlinger0,9.0
RB,16,144.0,david montgomery0,9.0
WR,17,152.0,terry mclaurin0,8.941176470588236
RB,16,143.0,tyler allgeier0,8.9375
WR,17,150.0,brandon aiyuk0,8.823529411764707
WR,14,123.0,christian watson0,8.785714285714286
WR,13,114.0,mike williams0,8.76923076923077
RB,16,140.0,devin singletary0,8.75
RB,12,104.0,brian robinson jr.0,8.666666666666666
WR,8,69.0,mecole hardman0,8.625
WR,13,112.0,deebo samuel0,8.615384615384615
QB,5,43.0,jarrett stidham0,8.6
TE,16,137.0,taysom hill0,8.5625
RB,16,137.0,raheem mostert0,8.5625
RB,16,137.0,jeff wilson0,8.5625
RB,15,128.0,cam akers0,8.533333333333333
WR,15,126.0,chris olave0,8.4
